latitude,longitude,brightness,acq_date,acq_time,daynight
-29.721,151.987,393.6,8/11/2019,410,D
-11.938,133.28,336.2,24/10/2019,500,N
-11.504,142.546,340,30/11/2019,50,D
-15.379,144.617,342.4,13/12/2019,20,D
-32.164,151.413,311.6,4/01/2020,1505,N
-12.069,141.848,332,4/10/2019,55,D
-34.379,117.995,342.3,31/12/2019,605,D
-32.604,119.778,334.5,4/12/2019,210,D
-12.204,132.634,370.4,11/10/2019,100,D
-16.473,124.442,338.6,5/12/2019,535,D
-31.798,152.222,319.4,14/11/2019,335,D
-26.507,150.674,338.3,2/01/2020,415,D
-16.873,128.752,320.2,10/12/2019,1340,N
-32.615,150.244,335.2,1/01/2020,1255,D
-30.683,152.308,354.1,12/11/2019,1310,D
-37.637,149.115,340.9,4/01/2020,1505,D
-34.173,150.373,312.1,6/12/2019,2320,D
-13.341,135.788,342.8,12/12/2019,115,N
-26.719,130.568,313.1,24/10/2019,1420,D
-32.136,121.433,333.1,21/12/2019,530,D
-35.761,149.997,362.1,31/12/2019,10,D
-31.121,132.719,397.2,2/01/2020,135,N
-27.039,130.452,312.5,24/10/2019,1420,D
-25.396,130.332,439,2/11/2019,450,D
-32.774,150.127,306.1,19/12/2019,1330,N
-30.822,122.99,389.6,19/11/2019,530,N
-17.971,144.998,374.6,16/12/2019,335,D
-31.837,152.704,349.7,7/11/2019,2350,D
-30.142,152.622,307.5,8/11/2019,1510,D
-26.651,130.187,350.5,29/11/2019,150,D
-14.739,127.047,359.3,14/11/2019,515,N
-35.891,147.979,328.9,9/01/2020,5,D
-28.655,127.864,312.6,5/11/2019,1445,D
-18.587,143.766,308.9,19/12/2019,1330,D
-16.579,142.456,344.4,19/11/2019,110,N
-12.504,141.781,353.1,17/11/2019,120,D
-33.794,150.198,312.7,20/12/2019,310,D
-33.263,150.301,335.4,4/12/2019,2335,D
-25.941,152.342,327.6,3/12/2019,405,D
-18.4,144.505,358.2,9/12/2019,45,D
-32.834,150.171,383.3,21/12/2019,350,N
-35.84,148.691,322.6,3/01/2020,320,N
-31.123,146.674,304.6,16/12/2019,1300,D
-37.253,149.26,337.2,4/01/2020,1505,D
-30.974,151.89,347.4,12/11/2019,1445,D
-33.229,150.052,374.4,21/12/2019,1315,D
-31.426,151.993,374.6,7/12/2019,340,D
-29.208,151.444,337,7/11/2019,2350,D
-12.695,136.26,337.9,15/12/2019,435,D
-28.4,152.683,313.7,25/11/2019,1240,D
-13.749,136.207,321.6,11/10/2019,100,D
-14.173,133.503,342.6,12/10/2019,435,D
-31.667,152.442,305.4,19/11/2019,1315,D
-12.481,131.931,331.4,16/12/2019,515,D
-12.773,131.944,324.3,23/10/2019,1340,D
-13.725,143.13,344.8,9/10/2019,400,D
-35.202,150.087,308.4,20/12/2019,1230,D
-37.514,149.233,320.9,4/01/2020,1325,N
-31.636,151.234,326,21/12/2019,1315,N
-16.227,125.12,335.5,30/10/2019,135,D
-33.321,150.113,326.5,17/12/2019,415,D
-15.757,136.362,338.5,30/10/2019,130,N
-30.852,152.296,325.3,7/11/2019,325,N
-32.683,150.398,328.9,6/12/2019,1220,D
-37.517,148.337,446.6,30/12/2019,1310,D
-32.313,121.348,310.3,21/12/2019,1630,D
-32.808,150.248,369.4,18/12/2019,320,N
-27.095,153.398,308.7,19/11/2019,1450,N
-21.708,145.629,311.4,9/12/2019,1255,D
-29.486,152.144,341.3,19/12/2019,405,N
-27.256,152.137,316.6,18/11/2019,1235,N
-35.465,150.112,359.2,1/12/2019,415,N
-37.663,147.596,303.7,3/01/2020,1600,N
-31.533,152.265,321.2,16/11/2019,1245,D
-33.759,150.165,327,30/12/2019,1310,D
-13.009,143.221,328.8,15/11/2019,420,D
-13.035,132.282,351,21/10/2019,425,N
-30.685,152.127,328.9,18/12/2019,320,N
-31.447,151.83,374.1,5/12/2019,350,D
-34.225,150.325,319.2,20/12/2019,1230,D
-33.87,150.225,312.4,26/12/2019,1510,N
-32.808,150.772,324.1,8/12/2019,5,N
-17.188,125.932,321.9,26/12/2019,1645,D
-31.18,152.581,305.4,14/11/2019,1300,N
-24.001,149.031,390.8,12/10/2019,1525,D
-34.768,145.928,325.7,22/10/2019,2355,D
-28.264,152.727,339.6,26/11/2019,400,N
-19.369,143.331,361.3,30/12/2019,350,D
-34.793,117.429,403,8/11/2019,550,N
-32.312,121.51,491,19/12/2019,540,N
-17.647,144.782,327.9,18/12/2019,325,D
-15.406,126.924,346,3/10/2019,150,D
-25.722,153.037,344.1,30/11/2019,335,N
-17.641,122.343,403.1,3/11/2019,535,N
-29.331,151.676,332.5,9/11/2019,1240,D
-28.301,152.709,325.8,17/11/2019,1505,N
-31.166,152.304,311.1,12/11/2019,1445,N
-12.048,134.741,325.4,17/11/2019,410,N
-31.47,151.928,333.4,3/12/2019,405,D
-31.338,151.799,332.3,30/12/2019,345,D
-18.317,144.467,345.3,9/12/2019,330,N
-41.62,147.928,315.5,31/12/2019,1530,D
-32.388,121.502,340.8,29/12/2019,620,N
-15.128,128.261,336.4,17/12/2019,130,D
-22.367,150.668,331.5,9/10/2019,400,N
-34.085,150.158,304.8,31/12/2019,1530,N
-37.534,147.653,350.3,26/12/2019,410,D
-32.737,121.97,327.6,7/01/2020,1400,D
-18.848,144.643,332.4,16/12/2019,335,D
-16.458,142.451,368.3,7/12/2019,1310,D
-29.116,152.459,309,10/11/2019,1455,D
-35.417,147.9,400,30/12/2019,1445,D
-30.71,123.519,330.8,20/12/2019,205,D
-30.758,152.641,327.8,6/12/2019,1220,D
-37.022,148.104,338.2,3/01/2020,1245,D
-12.926,136.373,332,8/11/2019,415,D
-29.937,152.391,322.8,7/11/2019,1425,D
-30.963,152.02,341.3,7/11/2019,325,N
-32.707,150.255,323.5,20/12/2019,30,N
-25.702,153.053,315.1,6/12/2019,1220,N
-33.037,150.26,354.4,19/11/2019,1315,D
-30.832,123.409,344.4,31/12/2019,150,D
-28.771,128.538,330.1,29/12/2019,1405,D
-33.358,115.962,318,26/10/2019,620,D
-16.389,136.131,345.5,13/12/2019,445,D
-24.429,147.673,307.4,30/12/2019,1310,D
-18.913,143.679,338.8,21/12/2019,355,D
-12.65,142.203,331,13/10/2019,50,N
-31.804,152.228,313.9,12/11/2019,1310,D
-33.34,150.832,323.5,20/11/2019,435,D
-30.337,132.648,375.8,1/01/2020,510,D
-31.257,152.527,327.5,9/11/2019,35,D
-20.462,123.829,360.6,26/10/2019,200,D
-32.448,123.147,411.3,6/01/2020,530,D
-12.386,134.479,354.3,3/10/2019,440,D
-32.742,150.229,336.5,19/12/2019,1505,D
-32.713,121.114,341.7,26/12/2019,550,D
-37.736,148.192,365.2,30/12/2019,1310,D
-14.946,126.372,332.6,22/11/2019,140,D
-35.24,150.523,318.3,1/01/2020,1255,N
-29.205,151.541,347.1,7/11/2019,325,D
-30.031,150.959,333.4,18/12/2019,320,N
-31.549,151.908,347.4,18/11/2019,2335,N
-33.895,150.119,336,15/12/2019,2315,D
-30.508,150.91,343.5,22/12/2019,15,D
-31.69,132.892,323.8,2/01/2020,1340,D
-29.33,152.182,303.4,20/12/2019,1235,N
-33.805,150.193,302.3,25/12/2019,1250,N
-36.025,149.693,317,1/01/2020,1255,N
-35.232,150.142,338,20/12/2019,30,N
-32.589,150.618,342,28/12/2019,355,N
-30.946,124.11,340.9,18/11/2019,445,D
-37.33,148.531,326.3,30/12/2019,1310,D
-20.935,123.773,333,14/11/2019,230,N
-27.758,128.345,350.1,26/12/2019,550,D
-16.117,137.128,355.8,5/12/2019,110,D
-29.033,152.883,330.6,8/10/2019,1240,D
-28.566,122.766,307,22/10/2019,1430,D
-31.417,151.913,333.3,8/12/2019,5,D
-19.876,122.013,308.7,13/12/2019,1410,D
-15.592,124.828,328.6,25/11/2019,500,D
-29.222,152.718,394.6,5/12/2019,350,D
-36.03,147.801,314.5,1/01/2020,1255,N
-17.232,142.399,310.3,30/11/2019,1300,D
-30.381,150.865,301,3/12/2019,1505,N
-35.893,147.581,358.3,30/12/2019,1310,N
-31.456,152.307,320.3,8/11/2019,1510,D
-37.195,148.258,332.7,30/12/2019,1310,D
-28.126,152.459,360.3,7/11/2019,330,D
-35.247,150.371,326,26/12/2019,410,N
-30.599,151.039,303.1,14/12/2019,1310,D
